,status,Player_1,Player_2,match_ID
0,Finished,Kukushkin M. (Kaz),Ymer E. (Swe),nNkxQDEl
1,Finished,Mannarino A. (Fra),Evans D. (Gbr),hMX3rMUF
2,Finished,Millman J. (Aus),Piros Z. (Hun),pdUepr03
3,Finished,Bublik A. (Kaz),Ymer M. (Swe),tpktPXTf
4,Finished,Rinderknech A. (Fra),Norrie C. (Gbr),YJoYQgar
5,Finished,De Minaur A. (Aus),Fucsovics M. (Hun),EVYaq2F9
6,Finished,Krajinovic F. (Srb),Koepfer D. (Ger),rFMWq3t1
7,Finished,Rublev A. (Rus),Quiroz R. (Ecu),Wz3R5p3K
8,Finished,Medvedev D. (Rus),Gomez E. (Ecu),2Jgc0OQs
9,Finished,Sonego L. (Ita),Mejia N. (Col),Wf7Mx1iO
10,Finished,Djokovic N. (Srb),Struff J-L. (Ger),xxMzqNe7
11,Finished,Sinner J. (Ita),Galan Riveros D. E. (Col),Ao6QyL6U
12,Finished,Golubev A./Nedovyesov A.,Goransson A./Lindstedt R.,zJ0yqgLQ
13,Cancelled,Herbert P./Mahut N.,Salisbury J./Skupski N.,hfBWqZ5K
14,Finished,Mahut N./Rinderknech A.,Salisbury J./Skupski N.,Kp5DNFTT
15,Cancelled,Bolt A./Peers J.,Fucsovics M./Marozsan F.,vi7SpFjE
16,Finished,Bolt A./Peers J.,Marozsan F./Piros Z.,hEVIe0uD
17,Finished,Karatsev A./Rublev A.,Escobar G./Hidalgo D.,prq2artl
18,Finished,Cacic N./Djokovic N.,Krawietz K./Puetz T.,n5Ojlg6L
19,Cancelled,Djokovic N./Krajinovic F.,Krawietz K./Puetz T.,GSKvrsBD
20,Finished,Australia,Hungary,jLaDMd3e
21,Finished,France,Great Britain,EyE2RokN
22,Finished,Kazakhstan,Sweden,pGlXtRlA
23,Finished,RTF,Ecuador,xjoPrmKc
24,Finished,Serbia,Germany,Ms3xLqSj
25,Finished,Italy,Colombia,nmgMKzY7
26,Finished,Frunza N. (Rou),Alvarez N. (Per),lvY563E5
27,Finished,Copil M. (Rou),Huertas Del Pino C. (Per),W2NA5NTB
28,Cancelled,Ruud C. (Nor),Marchenko I. (Ukr),tY8IGKvc
29,Finished,Ruud C. (Nor),Stakhovsky S. (Ukr),AktEdtQ6
30,Cancelled,Durasovic V. (Nor),Sachko V. (Ukr),KO7MFvf3
31,Finished,Benchetrit E. (Mar),Sigsgaard C. (Den),zR0NEes6
32,Cancelled,Jaziri M. (Tun),Lock B. (Zim),OtAa0afG
33,Finished,Ouakaa A. (Tun),Ncube T. (Zim),dhNpu5yj
34,Cancelled,Dougaz A. (Tun),Sibanda M. D. A. (Zim),2X83aJ9M
35,Finished,Ouahab L. (Mar),Holmgren A. (Den),n14RDFdC
36,Finished,Durasovic V./Ruud C.,Molchanov D./Stakhovsky S.,MHkzfcXq
37,Finished,Jaziri M./Mansouri S.,Lock B./Lock C.,pdb8bwPS
38,Finished,Masur D. (Ger),Nardi L. (Ita),2o6wg5d3
39,Finished,Otte O. (Ger),Cobolli F. (Ita),roPOgrnL
40,Finished(retired),Coria F. (Arg),Cerundolo F. (Arg),p4SjJ0mk
41,Finished,Cachin P. (Arg),Munar J. (Esp),zL55D286
42,Finished,Erel Y. (Tur),Karlovskiy E. (Rus),j70Uh7wF
43,Finished,Ramanathan R. (Ind),Clarke J. (Gbr),CWXRSDKo
44,Finished,Mmoh M. (Usa),Uchida K. (Jpn),nL65Oq69
45,Finished,Svajda Z. (Usa),Altmaier D. (Ger),EkcxWdq8
46,Finished,Tabilo A. (Chi),Ito T. (Jpn),KheDNIw6
47,Finished(retired),Cuevas P. (Uru),Watanuki Y. (Jpn),nyXZzqR4
48,Finished,Glasspool L./Heliovaara H.,Vavassori A./Vega Hernandez D.,jNWVRXZi
49,Finished,Alves M./Heide G.,Darderi L./Olivieri G. A.,zPugYNRr
50,Finished,Neuchrist M./Pervolarakis M.,Borges N./Cabral F.,IV5XVwXf
51,Finished,Brouwer G./Stalder R.,Draxl L./Galarneau A.,hEXVyPBb
52,Finished,Hach H./Reyes-Varela M.,Menendez-Maceiras A./Ortega-Olmedo R.,UNQdtv3p
53,Finished,Gray J. (Gbr),Acquaroli G. (Ita),OCdulIim
54,Finished,Roncalli S. (Ita),Gill F. (Gbr),IZeqmx7g
55,Finished,Ly Nam H. (Vie),Blanch D. (Usa),Amk00cN4
56,Finished,Bittoun C. (Fra),Hussey G. (Gbr),A3cMyHC7
57,Finished,Flores J. (Cos),Blanch D. (Usa),xAk8aK4E
58,Finished,Ochi M. (Jpn),Rubio Fierros A. F. (Mex),WCbIxcc1
59,Finished,Spec M. (Slo),Ly Nam H. (Vie),O6o400k8
60,Finished,Comesana F. (Arg),Lingua Lavallen A. L. (Arg),pYgQwaMB
61,Finished(retired),Otegui J. B. (Arg),Torres J. B. (Arg),bybUxJyI
62,Finished,Baadi T. (Can),Buitrago N. (Col),8CYXKWz7
63,Finished,Chen K. Y. (Tpe),Hoyos Franco A. (Col),6mxHOEyr
64,Finished,Brugnerotto M. (Ita),Hoyos Franco A. (Col),294Lvu75
65,Finished,Sinclair C. (Aus),Baadi T. (Can),Wldxyc6U
66,Finished,Eqbal I. (Ind),Velcz Z. (Hun),2eJREs2t
67,Finished,Boyer D. H. (Usa),Sinha N. K. (Ind),0nXaJNgP
68,Finished,Ionel N. D. (Rou),Wehnelt K. (Ger),dtqB1yMn
69,Finished,Pinnington Jones J. (Gbr),Broom C. (Gbr),zXsF0eyg
70,Finished,Borisiouk M. (Blr),Zgirovsky A. (Blr),fLKVX51k
71,Finished(retired),Danilov S. (Rus),Kachmazov A. (Rus),GULRYonq
72,Finished,Kasnikowski M. (Pol),Decamps G. (Bra),rscMfT82
73,Finished,Pawelski M. (Pol),Den Ouden G. (Ned),txJwWqW1
74,Finished,Moeller M. (Ger),Krumich M. (Cze),Y3XAS4Q2
75,Finished,Paulson A. (Cze),Bertola R. (Sui),h6mCQreF
76,Finished,Snigur D. (Ukr),Kucova K. (Svk),E1adJ6nd
77,Finished,Branstine C. (Can),Falei A. (Blr),WdnGP2AL
78,Finished,Li Z. (Chn),Nugroho P. M. (Ina),QJoKOMPR
79,Finished,Bonardi B. (Arg),Kingsley R. (Usa),zo59vJSl
80,Finished,Fiquet T. (Fra),Hsu C. (Tpe),O6PYpLkL
81,Finished,Monroy Y. (Col),Lampl C. (Usa),Ey4Dwwre
82,Finished,Zacarias M. (Mex),Fung S. (Can),pGQUo1zF
83,Finished,Fiquet T. (Fra),Lampl C. (Usa),Ms7kG1dp
84,Finished,Lincer O. (Usa),Malik T. (Usa),h0hcNPd5
85,Finished,Plazas J. (Col),Morales M. (Gtm),0pvlR7ct
86,Finished,Black H. T. (Usa),Rivera Corado M. G. (Gtm),bqzeZNj9
87,Finished,Plazas J. (Col),Lincer O. (Usa),69w3X1LL
88,Finished,Khirin N. (Isr),Fossa N. (Ita),xxCpoGy6
89,Finished,Laki M. (Gre),Spigarelli M. (Ita),GSAlpziC
90,Finished,Abduraimova N. (Uzb),Maklakova E. (Rus),MTwtVrUA
91,Finished,Kudashova D. (Rus),Kudermetova P. (Rus),rqSlTMbN
92,Finished,Falkner Z. (Slo),Koshiishi A. (Jpn),WY9yVcn1
93,Finished,Szabanin N. (Hun),Ku Y. (Kor),EcatUH17
94,Finished,Kartal S. (Gbr),Radovanovic . N. (Fra),Qchu7cbP
95,Finished,Morita A. (Jpn),Tran D. (Ned),S6v72H6t
96,Finished,Noskova L. (Cze),Maleckova J. (Cze),priG6N3q
97,Finished,Herdzelas D. (Bih),Bartunkova N. (Cze),OYkK5sJk
98,Finished,Thandi K. K. (Ind),Bandecchi S. (Sui),K0qT3Lm2
99,Finished,Udvardy P. (Hun),Lee G. (Rou),ppWZQikb
100,Finished,Avanesyan E. (Rus),Cepede V. (Par),booWju9K
101,Finished,Gray J./Seateun N.,Asrawy A./Makhlouf S.,dQfmndMa
102,Finished,Bittoun C./Rubio Fierros A. F.,Strode E./Strode I.,6o9vpLQf
103,Finished,Kissell C./Sheehy J.,Imamura M./Ochi M.,lAEZp1Bl
104,Finished,Arias B./Dellien Velasco M. A.,Comesana F./Torres J. B.,rkoAKNtO
105,Finished,Perez B./Rodriguez R.,Bendeck J. D./Urrea A.,hbcYywiO
106,Finished,Bhambri Y./Myneni S.,Dev S D P./Reddy R.,pK8WD1Hn
107,Finished,Bergevi F./Wehnelt K.,Park U./Wendelken H.,IeXJaFja
108,Finished,Agafonov E./Ibragimov D.,Binda A./Verbin P.,2oKZWPGe
109,Finished,Bourgois C./Breysach M.,Fernandez Flores D./Soriano Barrera A.,dp1QgmO8
110,Finished,Karol M./Pokorny L.,Duda F./Pavlasek A.,CfWEROu9
111,Finished,Danilina A./Kuzmova V.,Gabueva A./Zakharova A.,8vVEeK1I
112,Finished,Bai Z./Kovapitukted P.,Dmitrichenko Y./Schmidt A.,2uwnKtYr
113,Finished,Akiyama M./Kuramochi M.,Arangio G./Kissell J.,vyPai3YK
114,Finished,Bissett A./Leclercq A.,Kingsley R./Sandberg V.,hvT3jNmR
115,Finished,Bissett A./Leclercq A.,Reasco Gonzalez M. E./Rusova A.,tO55uaDr
116,Finished,Corley P. C./Reed L.,Astete F./Black H. T.,CnvaYs6F
117,Finished,Khirin N./Zelnickova R.,Kimmelmann J./Tran L.,AkAhqf6I
118,Finished,Abduraimova N./Reyngold E.,Maklakova E./Pospelova A.,0KxpU2qH
119,Walkover,Gimbrere J./Karamoko N.,Murta I./Shinde V.,hlbpTyHD
120,Finished,Arakawa N./Rioux L.,Kim C./Ng M.,OhEdrELO
121,Finished,Chwalinska M./Noskova L.,Hosogi S./Matsuda M.,6cuP41Ye
122,Finished,Strakhova V./Tjandramulia O.,Alves C./Carle M. L.,Ye9JphH5
123,Finished,Giron M. (Usa),Paul T. (Usa),KWJiPa7I
124,Finished,Kudla D. (Usa),Vukic A. (Aus),fPYRU3ws
125,Finished,Flipkens K. (Bel),Osborne A. (Aus),GvNzTs8g
126,Finished,Muhammad A. (Usa),Dolehide C. (Usa),ro9DBtwJ
127,Finished,Giron M./Eubanks C.,Monroe N./Paul T.,pjmdzQFJ
128,Finished,Arevalo M./Kudla D.,Vukic A./Blumberg W.,Otn0ZqVP
129,Finished,Flipkens K./Gleason Q.,Osborne A./Guarachi A.,2ePnQuhC
130,Finished,Muhammad A./Olmos G.,Vandeweghe C./Dolehide C.,Us59CMNC
131,Finished,Gleason Q./Eubanks C.,Guarachi A./Paul T.,O4QrRLx6
132,Finished,Arevalo M./Olmos G.,Vandeweghe C./Blumberg W.,YFXVTNhm
133,Finished,Chicago Smash (Usa),New York Empire (Usa),pOAvWQy1
134,Finished,San Diego Aviators (Usa),Springfield Lasers (Usa),EcFrVpi7
135,Finished,Romania,Peru,vNm2IePE
136,Finished,Norway,Ukraine,QJqbJyA8
137,Finished,Tunisia,Zimbabwe,69BYd03A
138,Finished,Morocco,Denmark,p0AxdKIG
